,M1646_1,M1647_1,M01135_GAMYB_Q2,M0040_1,M0041_1,M1313_1,M0149_1,M01164_SQUA_01,M2368_1,M0008_1,M2369_1,ATHB2_binding_site_motif,M1561_1,LS5_promoter_element,M1678_1,M1679_1,M0821_1,E2F_DP_BS_in_AtCDC6,ACE_promoter_motif,M0037_1,M2356_1,M00151_AG_01,M0036_1,M2357_1,M1365_1,M01191_HDG7_01,SORLREP1,EveningElement_promoter_motif,OBP-1-4-5_BS_in_GST6,M1697_1,M1696_1,M0265_1,M0264_1,M2363_1,M00440_CG1_Q6,M1211_1,T-box_promoter_motif,M00819_KNOX3_01,M0142_1,M00417_ATHB9_01,M1921_1,Bellringer_replumless_pennywise_BS3_IN_AG,M1319_1,SORLIP1,M00344_RAV1_02,M00942_CPRF1_01,M01054_BHLH66_01,M00681_WRKY_Q2,M00376_TGA1A_Q2,M00441_GBF_Q2,M01114_E2F_Q2,M00479_ALFIN1_Q2,M1326_1,M1327_1,SORLIP3,AP1_BS_in_AP3,TGA1_binding_site_motif,M1576_1,M0370_1,M0371_1,M0840_1,M1618_1,M0841_1,M1619_1,M00089_ATHB1_01,M0591_1,M0590_1,ATB2_AtbZIP53_AtbZIP44_GBF5_BS_in_ProDH,M1650_1,M2662_1,M0765_1,M0764_1,Inr,M1842_1,M2341_1,M0020_1,M0021_1,M0653_1,M00943_TAF1_01,M00345_GAMYB_01,EIN3_BS_in_ERF1,AGL15_BS_in_AtGA2ox6,M0155_1,M0014_1,M0272_1,M0273_1,M0015_1,M2374_1,M00408_MADSA_Q2,M01133_AG_Q2,M1346_1,HSEs_binding_site_motif,M1680_1,M1681_1,M1403_1,SORLREP3,M1402_1,M1331_1,M1330_1,M00969_ATMYB15_01,Y_Patch,M01180_SPL14_01,M1940_1,M1941_1,M0682_1,Bellringer_replumless_pennywise_BS2_IN_AG,M01194_PDF2_01,CCA1_binding_site_motif,OBF4-5_BS_in_GST6,M0847_1,M0846_1,M0019_1,M0018_1,M2379_1,M00352_DOF1_01,M0376_1,M1656_1,M1657_1,M1303_1,M0762_1,M0763_1,M0158_1,M0027_1,M2346_1,AG_BS_in_SPL_NOZ,M0026_1,M2347_1,M1620_1,M00968_ATMYB77_01,M01189_CBNAC_02,M00700_ROM_Q2,M00654_OSBZ8_Q6,M0654_1,M0655_1,M00404_MADSB_Q2,M0166_1,M0167_1,M0153_1,M00371_CPRF2_Q2,M1309_1,M0768_1,M0769_1,M00949_AGL15_01,M00506_LIM1_01,M1686_1,M0081_1,M0080_1,M0013_1,M2373_1,M0012_1,M1341_1,M1340_1,M1404_1,M1405_1,M00788_EMBP1_02,M1663_1,M00392_AGL3_01,M01062_AGL2_02,M1336_1,M1337_1,M1277_1,AtMYB2_BS_in_RD22,LFY_consensus_binding_site_motif,M1276_1,M00401_ABF1_03,M00434_PIF3_01,ARF_binding_site_motif,SBP-box_promoter_motif,M0581_1,M0329_1,M00702_SPF1_Q2,SORLREP5,M1315_1,M1314_1,JASE1_motif_in_OPR1,M1566_1,M1700_1,M00442_ABF_Q2,M1701_1,Nonamer_promoter_motif,M1567_1,M0268_1,M0269_1,M0850_1,M0851_1,M0079_1,M0078_1,CArG1_motif_in_AP3,M0256_1,M2351_1,M0030_1,M2350_1,M0031_1,M0257_1,M00367_HBP1A_Q2,M1363_1,M0262_1,M0004_1,M2365_1,M0005_1,M2364_1,M0263_1,M00370_CPRF3_Q2,AP1_BS_in_SUP,CArG2_motif_in_AP3,M1690_1,M1691_1,M0677_1,M0145_1,M00439_C1_Q2,DRE_promoter_motif,CArG3_motif_in_AP3,M00375_TGA1B_Q2,M01006_AGP1_01,SORLIP5,M0073_1,M0072_1,M00315_GEN_INI_B,M01186_STF1_01,M1321_1,M1320_1,M01050_ARR10_01,M2380_1,M2381_1,M0649_1,M0648_1,M01188_CBNAC_01,ATHB6_binding_site_motif,M0156_1,M0157_1,M0665_1,M1345_1,M1344_1,M0849_1,M0848_1,M0017_1,M0271_1,M0270_1,M0016_1,M00950_AG_02,M2377_1,M1683_1,M1682_1,CArG_promoter_motif,M01156_BZR1_01,M1332_1,PI_promoter_motif,M1333_1,M1400_1,M1401_1,M01021_ID1_01,M0029_1,M2348_1,M0028_1,M2349_1,M0681_1,RY-repeat_promoter_motif,M0680_1,M1943_1,M0121_1,M1575_1,M0373_1,M0372_1,M1689_1,M1688_1,M0843_1,M0842_1,M1836_1,M2661_1,M0766_1,M0767_1,GCbox,CAATbox,M1278_1,M00653_OCSBF1_01,M2342_1,M0023_1,M2343_1,M0022_1,M0162_1,M0163_1,M01052_MYB80_01,M0650_1,M0651_1,M01192_HDG9_01,JASE2_motif_in_OPR1,M00937_TGA1A_Q2_01,M0758_1,M0759_1,M1338_1,M1339_1,M1694_1,M1695_1,M1569_1,M00958_ABI4_01,M2361_1,M0266_1,M01055_NAC691_01,SORLREP2,M0267_1,M00368_CPRF_Q2,LFY_BS_in_AP3,M2699_1,M00343_RAV1_01,CBF1_BS_in_cor15a,M00948_PCF2_01,M00369_TAF1_Q2,M0258_1,M0259_1,M1325_1,W-box_promoter_motif,M1324_1,RAV1-B_binding_site_motif,M1416_1,M0771_1,M0770_1,DPBF1_2_binding_site_motif,M1645_1,M1644_1,M0043_1,M00936_HBPA1_Q6_01,M0854_1,CCA1_motif1_BS_in_CAB1,MYB_binding_site_promoter,M00353_DOF2_01,M00366_EMBP1_Q2,M1562_1,L1-box_promoter_motif,M1563_1,TEF-box_promoter_motif,M01061_AGL2_01,SORLIP2,M0646_1,M00635_GT1_Q6,Hexamer_promoter_motif,EIL1_BS_in_ERF1,M0034_1,M2355_1,M0252_1,M0035_1,M2354_1,ATHB1_binding_site_motif,M00503_ATHB5_01,DRE-like_promoter_motif,M00735_ZAP1_01,M00507_TRAB1_Q2,M0261_1,M0007_1,M0006_1,M0260_1,M1693_1,M1692_1,M0369_1,M1648_1,M1649_1,M0229_1,M0588_1,M0589_1,M0146_1,M0147_1,M0039_1,M2358_1,M0038_1,M2359_1,LS7_promoter_element,M01179_CBT_01,M00435_PIF3_02,M1322_1,M1323_1,M00393_AGL3_02,M00399_ABF1_01,M1410_1,M1411_1,M1677_1,M2383_1,M2382_1,M00660_RITA1_01,M0582_1,M0583_1,GATA_promoter_motif_LRE,M1316_1,M1317_1,M1642_1,CCA1_motif2_BS_in_CAB1,M1702_1,TATAbox,M1564_1,M1699_1,BoxII_promoter_motif,M01059_AGL1_01,M00501_ANT_01,M0853_1,M0852_1,M00952_PCF5_01,Z-box_promoter_motif,octamer_promoter_motif,M1329_1,GA,M2863_1,M1195_1,Ibox_promoter_motif,M00355_PBF_01,M0255_1,M2352_1,M0033_1,M2353_1,M01193_ML1_01,M0032_1,M0151_1,M0150_1,SORLIP4,M00502_TEIL_01,M01060_AGL1_02,M00354_DOF3_01,M00361_CDC5_01,M1932_1,M1684_1,M1685_1,M01136_DOF_Q2,M0118_1,M0119_1,M01126_BPC1_Q2,M00970_ATMYB84_01,M1343_1,M2371_1,M0010_1,M2370_1,M0011_1,ABFs_binding_site_motif,CBF2_binding_site_motif,M00945_CPRF2_01,M01187_STF1_02,M1335_1,M1334_1,M1407_1,TELO-box_promoter_motif,M1406_1,E2F_binding_site_motif,M01128_SED_Q2,M00149_SBF1_01,M1274_1,M1275_1,M0844_1,M0845_1,Bellringer_replumless_pennywise_BS1_IN_AG,M00697_HBP1B_Q6,PRHA_BS_in_PAL1,M0761_1,M0760_1,MRE_motif_in_CHS,M1655_1,M1209_1,VOZ_binding_site,SORLREP4,M01130_PBF_Q2,M0024_1,M2345_1,M0025_1,M2344_1,M00946_TGA1B_01,M00400_ABF1_02,M01057_ERF2_01,M0165_1,M0164_1,M0657_1,M0656_1
Chr1_+_29890392_AT1G79460_tair(+),37,32,34,51,45,46,47,55,54,68,58,23,44,39,42,46,40,124,43,46,54,57,47,47,48,41,32,43,64,48,49,34,44,65,49,46,62,42,24,49,57,23,53,30,57,40,49,62,47,47,58,60,36,41,39,44,54,24,29,31,49,41,56,32,33,47,37,28,38,41,44,40,53,37,50,44,41,50,50,34,129,46,49,33,50,36,33,49,44,68,29,49,43,49,34,39,22,53,56,66,76,33,42,53,34,29,43,44,137,33,31,41,50,49,48,29,41,38,39,45,37,41,53,42,53,52,96,42,54,66,36,47,35,26,49,41,39,53,48,48,47,43,36,55,45,43,42,67,37,44,33,21,29,18,50,41,41,41,39,56,29,25,38,35,87,67,45,29,45,44,35,51,44,39,38,37,48,69,47,42,29,47,33,34,26,44,37,78,40,83,47,51,50,36,46,39,42,42,35,47,49,37,44,58,93,39,35,40,32,59,33,103,41,45,49,54,52,48,56,37,41,52,43,53,29,35,66,31,44,52,37,52,44,31,22,32,43,39,32,44,41,47,40,60,40,31,46,49,33,50,81,41,38,44,51,32,57,44,48,34,15,53,40,37,47,26,32,38,40,43,32,38,32,34,31,47,42,48,41,43,43,40,22,44,33,45,56,52,58,46,44,43,46,34,39,44,37,58,31,41,51,51,50,46,49,37,53,36,32,39,46,43,38,30,33,37,44,38,43,47,48,31,35,28,36,48,44,34,33,51,47,19,20,39,46,90,59,51,47,38,39,43,47,32,40,57,39,47,44,61,40,41,26,35,35,52,38,34,50,55,34,48,40,43,40,64,70,42,37,41,69,29,23,29,49,47,40,32,79,50,53,58,4,45,50,9,30,44,44,58,44,37,29,40,39,38,34,53,71,35,38,46,46,117,41,46,37,43,56,44,53,35,58,42,50,45,46,50,56,21,22,55,68,43,30,38,33,39,54,50,50,54,58,37,33,35,27,63,54,39,29,36,18,26,28,48,51,42,38,91,45,23,45,52,44,47,54,53,59,44,72,41,50,41,36,25
Chr2_+_2924447_AT2G07050_tair(+),38,30,26,31,22,27,24,44,26,50,29,32,27,35,24,21,21,52,29,26,52,35,20,32,39,22,29,54,35,23,30,35,33,36,33,38,59,37,16,34,37,46,28,24,37,24,31,32,35,28,20,45,31,34,34,36,35,14,23,18,30,30,37,28,35,45,55,32,43,41,34,43,41,33,53,21,24,34,31,25,71,37,38,22,40,33,26,26,51,35,23,37,23,31,24,53,24,39,33,34,57,25,45,38,19,20,30,53,56,25,32,25,24,26,39,18,35,36,30,27,35,30,39,35,40,31,137,30,25,29,31,29,27,23,56,32,32,28,33,30,46,29,30,34,28,38,30,47,34,17,37,15,32,22,30,43,36,33,32,34,18,28,28,19,51,41,38,28,19,27,23,39,32,30,26,21,31,39,28,33,26,36,38,30,37,23,25,48,32,46,35,35,38,37,32,28,24,18,36,17,25,27,29,47,59,26,22,33,81,28,20,48,39,39,39,40,33,31,45,28,30,28,37,37,27,24,29,37,33,31,32,34,34,13,41,25,28,28,21,31,32,27,24,43,23,34,46,35,30,33,47,25,44,19,49,17,37,35,25,26,14,24,24,21,26,30,23,33,29,35,28,31,25,24,20,35,17,34,22,29,37,26,21,34,28,25,41,47,42,27,34,26,40,21,32,27,24,34,38,25,26,23,32,39,30,36,33,35,33,23,26,34,23,22,27,25,34,41,31,20,38,46,44,26,29,32,21,35,21,37,37,20,28,26,22,56,38,39,30,28,34,42,38,21,30,33,29,24,28,30,23,27,23,43,38,29,49,52,29,35,24,24,29,27,30,26,43,35,29,37,50,27,25,23,29,24,24,24,65,37,36,40,7,43,29,54,25,27,32,39,27,43,19,29,23,31,27,45,32,28,26,35,32,58,24,32,26,31,33,28,33,29,37,36,22,37,24,26,47,27,27,50,50,31,36,23,23,17,32,30,32,39,37,24,31,31,22,33,34,22,31,25,24,34,82,34,41,30,28,52,40,35,23,47,40,28,33,21,38,32,40,22,35,29,31,18
Chr2_+_9280044_AT2G21730_tair(+),44,55,36,38,44,34,30,46,38,53,63,40,33,27,33,36,29,86,29,46,43,38,43,35,32,34,46,26,41,39,34,41,35,59,38,42,62,46,19,37,44,25,32,32,34,29,40,52,39,45,46,63,46,39,29,37,46,22,19,41,35,38,39,45,37,43,40,26,46,35,41,40,33,30,52,39,38,40,40,39,100,27,43,42,40,36,41,37,46,41,44,40,33,38,40,40,24,47,35,46,67,36,48,44,33,36,36,51,112,38,47,45,50,43,40,21,54,56,34,32,38,34,46,35,60,37,144,35,38,42,35,50,42,37,39,37,37,45,42,42,31,26,33,55,36,36,43,50,48,39,39,27,32,29,28,47,33,36,50,37,47,49,40,40,75,51,30,35,38,29,26,34,31,39,31,26,38,56,43,44,24,38,46,33,46,21,32,67,38,57,38,36,49,34,46,47,28,36,37,45,46,27,43,40,89,37,28,33,68,45,33,85,42,38,46,44,47,32,43,31,44,34,56,43,38,43,34,52,41,41,27,35,41,23,41,32,37,32,45,40,36,32,33,29,39,31,43,40,28,42,62,41,46,45,47,38,41,44,48,35,19,30,24,36,29,37,30,31,35,45,46,40,44,35,28,34,39,34,42,38,46,39,31,35,34,39,47,36,34,36,51,37,41,31,47,41,39,57,38,26,35,36,45,44,47,55,39,33,41,54,47,38,34,31,39,36,30,52,54,43,35,39,38,41,34,34,30,30,19,41,31,22,43,25,35,80,49,36,34,38,41,45,51,37,49,38,34,44,38,34,33,39,30,53,54,33,45,42,36,40,48,44,43,40,25,54,51,33,42,31,75,37,30,30,53,36,38,31,83,33,36,32,9,46,41,21,35,43,34,38,45,44,21,57,29,39,40,57,48,35,33,38,31,66,44,44,38,44,32,38,42,42,41,33,39,46,34,44,48,29,19,66,59,48,18,39,37,41,42,42,42,42,44,48,29,39,33,47,41,31,35,32,26,41,51,39,49,29,36,86,44,41,40,39,38,42,46,51,46,51,77,40,37,40,39,39
Chr2_+_9331089_AT2G21890_tair(+),56,65,44,45,43,33,32,58,44,53,67,27,39,27,34,37,34,155,40,45,47,47,42,36,34,30,49,28,58,44,38,43,45,69,39,45,70,47,20,42,52,35,34,39,44,38,42,56,39,54,63,70,52,46,35,45,45,21,27,50,37,41,59,46,44,46,37,32,53,36,53,44,47,30,56,40,44,43,48,43,130,37,53,48,47,39,45,38,48,54,51,45,34,43,34,32,24,51,36,50,120,38,47,52,33,37,36,45,162,50,36,55,50,61,37,27,69,66,27,33,45,40,55,47,62,43,150,37,44,54,41,64,41,34,47,43,40,45,47,46,40,32,38,56,42,37,41,46,42,38,43,27,40,31,35,54,43,47,56,43,47,48,49,46,95,58,41,36,43,36,17,35,41,45,29,32,44,65,47,53,32,48,49,33,41,29,36,80,40,87,43,42,57,40,48,58,34,38,37,46,50,31,46,52,105,47,37,39,50,54,29,130,45,43,54,53,53,33,45,33,52,38,66,45,38,38,42,47,47,46,33,39,51,24,33,37,40,29,51,47,47,36,37,38,38,36,48,33,28,45,82,44,50,51,47,38,47,39,47,38,22,36,32,35,36,30,29,35,35,52,48,54,53,43,33,40,38,42,43,46,49,41,29,33,32,45,49,42,36,42,51,41,38,37,46,39,43,65,32,27,39,45,50,46,56,62,46,36,42,60,54,44,36,30,44,45,27,62,69,45,45,29,30,43,39,41,35,36,29,45,44,21,36,23,38,97,56,40,40,42,44,47,53,38,55,41,38,45,45,39,37,50,35,58,66,44,39,34,41,57,46,45,47,39,28,80,59,38,48,43,81,38,37,29,58,43,42,37,83,35,40,31,6,44,43,15,42,49,38,42,49,31,22,74,32,48,39,63,72,32,29,36,35,106,45,50,32,50,35,42,44,38,40,40,47,47,47,43,56,31,15,60,70,57,26,45,45,41,46,53,48,48,53,52,30,41,32,66,77,38,32,40,20,39,36,49,60,28,37,130,57,29,46,65,40,46,52,49,43,49,95,50,46,44,39,41
Chr2_+_9488554_AT2G22330_tair(+),58,73,62,43,53,40,41,40,39,33,83,31,43,36,56,41,29,92,43,53,60,41,52,40,51,33,24,55,59,54,39,55,43,79,52,47,49,51,14,40,52,39,29,62,53,48,45,42,48,58,60,46,48,45,44,40,39,18,15,37,41,51,45,47,33,32,40,36,58,42,47,40,52,35,56,47,35,50,49,51,115,38,48,57,59,57,58,38,47,42,37,38,47,44,26,61,30,40,36,37,84,44,55,34,38,23,32,55,122,61,36,65,63,53,50,19,64,55,50,34,35,46,51,42,48,32,98,54,39,42,59,91,40,39,52,44,45,48,50,49,43,43,32,87,52,46,50,34,59,48,38,18,54,31,40,58,39,46,40,44,52,57,30,42,86,64,26,54,46,45,24,38,40,43,50,31,48,80,45,47,32,46,54,27,30,38,47,71,50,46,35,60,44,52,52,51,38,45,40,51,74,49,53,54,73,47,45,47,72,66,47,94,61,40,30,32,36,33,58,35,44,39,69,53,43,38,39,39,48,39,42,39,44,17,34,44,50,40,66,35,43,47,55,45,32,35,43,46,48,47,49,59,62,55,48,36,48,36,59,28,30,37,15,46,51,35,24,39,40,33,48,49,56,33,35,50,44,56,53,46,50,37,35,34,36,50,53,38,31,31,45,44,40,26,69,49,48,53,50,51,49,47,46,70,59,62,56,54,53,50,33,45,40,49,52,35,55,62,56,54,63,33,55,66,49,55,32,33,30,51,48,22,39,22,43,92,38,49,45,35,46,42,43,62,41,53,42,53,59,38,56,44,39,55,64,49,48,38,37,47,61,39,53,46,35,55,76,43,44,35,97,46,49,42,56,36,44,39,53,42,28,44,11,59,47,28,37,49,34,40,60,44,31,50,45,44,41,49,69,33,39,38,41,62,54,54,29,33,40,46,39,45,48,45,46,51,47,48,51,40,33,60,38,29,37,41,37,40,51,50,49,50,22,47,44,41,44,51,40,21,45,35,24,44,54,66,82,40,36,106,59,41,45,43,35,47,49,57,60,59,109,42,46,43,38,29
Chr2_+_9892716_AT2G23230_tair(+),31,35,29,33,40,25,37,28,32,35,50,28,40,28,37,38,33,44,36,40,39,29,36,33,36,32,33,59,42,41,41,26,37,45,43,34,54,27,18,33,32,38,26,44,31,32,37,35,33,39,38,53,24,26,32,24,43,18,22,22,33,32,30,29,28,51,56,30,37,32,35,33,33,35,42,35,30,31,34,36,56,41,40,37,37,21,37,29,40,31,31,42,34,37,40,52,20,31,27,39,56,40,39,38,26,34,20,56,53,31,27,41,42,37,29,26,37,37,48,33,24,35,32,34,40,39,60,31,32,25,33,47,29,23,33,36,32,33,32,36,30,28,23,45,36,39,30,40,39,33,38,17,38,33,36,36,35,32,34,37,32,34,30,32,44,40,29,34,33,37,32,27,38,29,37,37,36,43,39,30,32,38,28,28,24,17,25,46,41,44,36,43,37,39,34,33,27,35,30,35,34,29,33,36,59,35,29,36,82,35,35,49,34,32,47,37,40,26,37,30,37,33,37,32,25,36,27,30,34,35,33,31,33,13,28,32,26,24,42,33,32,32,35,27,35,30,36,30,34,35,34,40,41,43,34,24,34,29,35,23,12,28,20,28,36,25,25,34,22,28,28,30,32,33,27,40,32,36,36,33,38,29,22,42,30,30,44,26,33,32,36,33,41,33,42,35,27,40,39,35,35,27,39,43,38,39,33,29,26,38,28,28,22,30,24,25,39,31,28,39,32,38,41,38,29,37,32,38,33,32,36,12,35,38,29,50,43,40,34,28,35,36,34,41,39,34,33,35,40,30,35,34,23,35,39,35,56,51,32,35,32,38,34,38,39,37,34,25,32,34,49,37,23,29,42,38,36,30,49,36,32,36,5,42,33,48,29,39,29,36,25,26,17,27,35,32,31,44,43,16,35,35,35,35,37,39,31,35,35,38,40,22,32,34,33,34,34,41,42,30,48,51,40,37,26,25,32,35,43,36,30,32,28,27,41,32,37,41,34,36,39,33,31,19,62,34,44,29,31,45,41,30,34,32,29,34,37,38,34,39,51,36,39,32,25,32
Chr2_+_10294330_AT2G24210_tair(+),31,48,33,24,27,23,38,26,20,41,55,39,27,31,34,33,24,48,38,30,40,28,28,31,44,34,35,50,48,38,42,32,23,35,41,28,58,36,23,33,33,36,30,37,33,41,36,35,38,50,35,23,29,34,39,35,45,14,17,22,25,22,31,22,30,39,44,39,30,30,42,35,57,26,43,28,18,19,36,36,59,40,45,28,34,33,34,32,45,29,42,31,35,35,32,61,35,37,28,32,51,36,34,40,30,34,29,57,67,38,31,38,31,32,32,15,31,25,42,34,33,38,26,40,30,25,50,24,23,28,36,36,25,28,43,40,41,45,40,31,33,34,29,49,35,44,40,43,50,29,21,18,30,36,37,33,25,27,26,40,26,31,23,35,34,45,30,46,27,46,30,30,33,20,28,24,38,38,37,51,26,30,34,26,29,20,37,40,47,48,25,44,24,43,32,35,29,27,27,27,44,30,36,32,49,28,31,24,47,49,42,64,38,41,37,32,28,37,41,19,34,41,26,35,23,24,27,34,48,35,15,37,25,13,40,20,31,38,40,33,28,35,29,25,32,36,36,30,43,36,48,33,39,28,49,30,40,30,24,18,6,33,17,30,30,24,24,31,24,36,27,36,38,29,40,41,24,43,29,50,43,26,17,21,32,38,37,37,29,23,25,32,43,21,40,43,36,32,22,42,47,27,24,45,39,36,37,49,36,33,32,36,25,31,25,28,42,29,23,29,45,30,33,39,26,48,31,37,23,28,26,11,24,34,28,54,31,50,43,19,52,30,33,31,32,28,41,27,31,33,31,35,29,26,36,46,49,54,41,25,24,35,26,41,27,48,47,24,28,27,37,41,25,19,28,28,44,27,86,42,26,42,7,37,28,38,24,34,31,31,38,43,13,34,46,29,20,35,48,19,35,33,24,50,31,51,29,25,39,44,36,30,28,27,30,26,35,36,33,24,36,38,25,29,29,24,29,23,31,50,42,44,29,26,38,53,41,45,41,23,17,13,28,30,41,42,48,30,34,58,34,42,30,63,27,24,47,30,41,34,44,24,39,43,33,38
Chr2_+_13497233_AT2G31750_tair(+),35,46,48,52,53,33,36,40,42,42,97,22,40,48,42,37,26,122,42,66,47,41,48,41,28,49,17,62,43,41,33,61,54,66,51,59,58,53,22,48,54,38,34,37,61,49,42,52,50,54,49,46,29,39,34,41,48,27,20,37,47,52,34,51,41,48,39,39,33,38,32,25,56,37,38,60,48,34,54,43,141,38,43,51,52,51,54,42,39,51,37,38,36,34,30,47,33,45,36,44,91,42,47,27,40,29,44,47,133,41,47,65,72,52,38,22,46,43,32,30,29,37,57,51,36,54,98,53,43,45,56,67,41,32,50,38,37,37,50,35,24,32,32,68,42,37,38,37,42,55,36,19,38,30,44,35,34,44,27,33,39,37,32,40,86,55,38,38,42,46,25,38,41,24,48,27,47,63,36,50,28,56,52,45,46,46,31,81,39,52,42,55,59,45,55,37,36,51,36,52,68,53,52,52,106,42,33,46,61,65,48,116,49,25,31,57,51,48,60,27,33,29,47,53,36,35,35,30,40,38,44,36,30,21,38,44,52,48,62,35,44,36,41,48,39,36,35,41,31,43,53,65,53,53,43,36,59,40,64,21,30,32,16,42,39,37,41,43,37,31,41,50,37,33,41,37,55,42,63,41,48,37,37,25,39,62,58,23,20,31,30,41,44,23,60,36,43,68,43,44,54,62,43,42,47,49,57,51,54,39,34,37,37,41,39,22,40,41,52,61,67,37,35,38,37,57,34,49,27,42,45,29,36,31,51,121,62,48,38,45,41,38,40,49,46,49,52,57,55,43,44,47,32,46,50,43,39,44,57,48,52,52,61,34,44,61,57,36,31,33,63,43,33,44,42,41,43,42,80,41,37,34,8,56,41,39,33,49,30,55,49,45,33,39,45,31,25,42,69,33,25,31,52,69,66,40,38,51,42,39,37,44,59,35,50,55,39,39,38,34,41,41,50,29,19,50,27,54,53,55,51,56,27,35,31,51,49,48,51,27,48,41,19,45,49,56,86,29,36,142,32,36,44,63,36,58,43,62,50,53,100,50,43,36,36,40
Chr2_+_15602863_AT2G37140_tair(+),35,37,43,40,37,33,28,41,31,57,58,41,28,27,30,37,31,55,37,47,49,50,34,43,37,36,26,53,41,40,41,41,35,55,40,44,51,37,20,42,44,32,26,39,38,37,33,35,25,47,29,48,41,44,37,27,39,14,27,27,38,27,30,25,34,42,42,36,39,31,46,44,50,30,64,41,35,42,41,37,88,35,39,33,32,38,39,41,38,39,38,41,40,31,37,65,28,38,33,40,63,39,50,49,31,26,42,45,72,36,34,37,42,34,44,25,36,32,33,40,37,32,46,26,38,43,75,38,31,44,44,41,39,27,48,36,32,33,37,33,34,38,40,44,42,30,34,64,48,32,28,17,37,33,30,36,53,46,41,46,37,37,35,52,65,51,28,36,29,35,26,36,39,35,27,28,29,48,37,40,30,35,42,32,44,21,45,52,38,44,40,37,36,38,40,46,29,33,34,36,44,28,39,37,61,32,35,34,53,43,36,68,38,44,32,38,41,29,47,37,46,42,40,42,32,43,43,36,41,37,24,37,36,26,45,29,35,30,42,41,46,37,24,39,32,35,43,35,34,35,46,39,60,41,56,38,50,37,35,30,18,36,27,38,31,35,36,36,36,46,37,42,41,37,21,43,30,45,41,37,43,37,23,38,31,38,38,44,41,32,36,38,49,29,38,38,37,55,34,43,38,43,33,39,43,35,40,39,39,30,38,39,38,27,35,35,39,33,30,39,46,36,30,30,45,47,32,58,31,46,47,18,35,38,31,56,44,44,35,32,39,31,37,31,30,38,39,36,33,35,31,35,25,35,39,49,37,45,56,35,37,43,40,35,34,30,46,39,44,41,60,40,20,26,48,27,27,27,45,44,31,36,9,46,33,26,31,37,32,58,53,44,23,35,43,38,32,40,42,21,31,41,33,48,42,45,37,31,34,37,39,37,54,49,38,30,37,42,51,26,36,55,43,29,22,39,32,36,40,35,38,47,35,39,38,50,40,28,45,34,26,30,27,41,37,38,47,38,45,64,39,38,30,43,38,42,43,43,44,45,59,33,38,34,37,30
Chr2_+_16785194_AT2G40190_tair(+),34,39,48,62,53,39,51,36,60,61,56,24,68,37,46,42,47,89,47,54,43,31,49,53,39,48,30,33,63,50,41,48,48,75,44,35,59,63,15,60,77,28,60,34,55,48,57,43,47,46,49,101,42,45,43,41,75,30,36,35,45,57,51,57,42,41,46,36,38,29,51,51,40,32,44,47,50,51,46,49,160,52,66,45,61,54,47,53,51,38,36,48,38,43,38,39,26,47,45,79,54,41,42,58,40,39,44,46,154,40,33,52,53,76,47,33,44,47,32,43,46,49,70,50,61,81,100,54,60,61,43,67,40,46,45,64,50,50,41,48,58,53,29,46,40,40,33,56,64,50,45,27,39,29,46,39,34,29,45,47,35,33,27,43,120,89,30,43,50,48,27,39,49,43,30,46,48,78,48,57,39,49,48,36,37,45,42,82,44,56,57,64,65,48,48,56,33,52,33,43,67,53,45,44,100,38,41,44,37,57,41,121,49,48,57,65,65,40,72,36,46,48,49,57,50,47,57,39,45,55,36,41,53,25,42,48,61,44,47,37,29,37,48,37,51,38,45,47,40,39,53,52,51,49,40,39,51,41,68,48,31,63,33,39,43,30,27,31,33,51,53,38,31,39,32,56,50,53,53,48,65,43,40,51,41,40,56,62,63,52,48,42,46,49,53,47,36,80,41,41,49,58,60,36,49,48,45,36,53,39,34,42,38,35,45,44,48,41,53,55,50,35,38,33,44,43,61,51,43,79,38,27,40,36,49,125,63,44,47,59,40,38,35,46,44,57,45,60,54,47,49,44,42,53,51,40,46,49,66,55,45,54,44,54,42,72,69,49,51,30,102,38,40,45,68,44,41,47,56,47,42,38,4,42,41,17,46,44,39,39,54,31,37,52,43,53,40,53,73,25,38,52,43,61,50,49,43,63,56,43,50,43,40,49,57,35,46,44,53,28,23,51,94,53,41,56,64,46,44,54,44,67,74,45,38,36,37,41,51,43,58,45,21,36,37,51,81,57,45,87,37,35,65,40,50,44,71,56,56,46,89,43,62,51,51,42
